configuration_id,experiment,blocks,classifier,C,k,risk_weighted_f1__mean,risk_weighted_f1__std,risk_macro_f1__mean,risk_macro_f1__std,accuracy__mean,accuracy__std
anchors_all__linear_svm__C1__k64,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,1.0,64,0.5749584799861069,0.044285299530232275,0.4894079903314251,0.04608416948854923,0.5723129533169792,0.04437346014599852
anchors_all__linear_svm__C0.25__kall,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,0.25,all,0.5736531618414602,0.03341241666188011,0.481114171647105,0.031089163426615295,0.5710584720196477,0.03166519588809921
anchors_complementary__linear_svm__C0.25__kall,anchors_complementary,zero_shot__individual__sentence;meta_prompting__macro__sentence,linear_svm,0.25,all,0.5722464854742438,0.039207756578328784,0.4642575178447848,0.032033851591954626,0.5701369972447019,0.039514635108790025
anchors_meta_prompting__linear_svm__C1__kall,anchors_meta_prompting,meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,1.0,all,0.5717287144817518,0.04302568826197576,0.4699866198223566,0.03644871678869521,0.5720985749540496,0.04146566911869856
anchors_meta_prompting__logistic_regression__C0.25__kall,anchors_meta_prompting,meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,0.25,all,0.5706013061262396,0.0469695688382132,0.4734798415653824,0.03746751060357739,0.5540595652025401,0.047839144075321784
anchors_complementary__logistic_regression__C1__kall,anchors_complementary,zero_shot__individual__sentence;meta_prompting__macro__sentence,logistic_regression,1.0,all,0.569436522662181,0.04414592524880411,0.47222077182190014,0.03567252657037712,0.550185726247,0.045707021373745466
anchors_all__linear_svm__C1__kall,anchors_all,zero_shot__macro__sentence;zero_shot__individual__sentence;meta_prompting__macro__sentence;meta_prompting__individual__sentence,linear_svm,1.0,all,0.5692726938048416,0.035109911366280167,0.4773595404771719,0.033353509625032,0.5659271641110202,0.03380433250197274
anchors_complementary__linear_svm__C1__kall,anchors_complementary,zero_shot__individual__sentence;meta_prompting__macro__sentence,linear_svm,1.0,all,0.5669675552385313,0.041124592827555206,0.4612752020490433,0.030198544490936202,0.5649727827102825,0.04049270840080116
anchors_meta_prompting__logistic_regression__C1__kall,anchors_meta_prompting,meta_prompting__macro__sentence;meta_prompting__individual__sentence,logistic_regression,1.0,all,0.5663287173877413,0.04555505678090368,0.47194724977317526,0.03459377340447973,0.550671734444798,0.04497118584900851
single__meta_prompting__macro__sentence__logistic_regression__C0.25__kall,single__meta_prompting__macro__sentence,meta_prompting__macro__sentence,logistic_regression,0.25,all,0.5645639062000032,0.04159477566446292,0.4696276492902735,0.030583575995039067,0.5482395241992621,0.04258962483899435
anchors_zero_shot__logistic_regression__C0.25__kall,anchors_zero_shot,zero_shot__macro__sentence;zero_shot__individual__sentence,logistic_regression,0.25,all,0.5626027190739519,0.03481560509885409,0.48166205009926166,0.029317873572936456,0.5508969451976053,0.03781412760910911
single__meta_prompting__macro__sentence__linear_svm__C0.25__kall,single__meta_prompting__macro__sentence,meta_prompting__macro__sentence,linear_svm,0.25,all,0.5618444050459307,0.04157707330004254,0.4496440714950068,0.027587737802970462,0.5665462727434227,0.04042133943922165
single__meta_prompting__macro__sentence__logistic_regression__C1__kall,single__meta_prompting__macro__sentence,meta_prompting__macro__sentence,logistic_regression,1.0,all,0.5613549093154302,0.0439684255083887,0.4673972407471877,0.03694462920312929,0.5456900808958792,0.04538346934724064
single__meta_prompting__macro__sentence__linear_svm__C1__kall,single__meta_prompting__macro__sentence,meta_prompting__macro__sentence,linear_svm,1.0,all,0.5611615723707509,0.042576207332267295,0.4505609696938112,0.029844059538629085,0.5658130766213453,0.0412334529616423
anchors_zero_shot__linear_svm__C1__kall,anchors_zero_shot,zero_shot__macro__sentence;zero_shot__individual__sentence,linear_svm,1.0,all,0.5605626386425315,0.03363534527938787,0.4746013437067918,0.029949866320853127,0.5619714395356975,0.03724044413084694
