configuration_id,experiment,blocks,classifier,C,k,repeat,fold,risk_weighted_f1,risk_macro_f1,accuracy
post_mpnet__logistic_regression__C1__k64,post_mpnet,post_embedding,logistic_regression,1.0,64,2,4,0.5837714879150075,0.5212607950256096,0.5718849840255591
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,0,0,0.6244567142843341,0.5497044075291593,0.6163522012578616
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,0,1,0.5742019926975679,0.468577458082882,0.5609756097560976
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,0,2,0.5958355937192953,0.4912908646854164,0.5858895705521472
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,0,3,0.5665470288822714,0.5399506625463413,0.5629139072847682
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,0,4,0.6067945943395956,0.5400761213932705,0.5949820788530465
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,1,0,0.563381476786421,0.4551017498818324,0.5606936416184971
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,1,1,0.6325265467267464,0.5166786046234001,0.6224489795918368
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,1,2,0.637372952787021,0.5994307333790967,0.6310975609756098
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,1,3,0.5856749141562855,0.4857071085067354,0.571830985915493
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,1,4,0.5771893366069595,0.5172192496829865,0.5769230769230769
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,2,0,0.5803158211433614,0.48103763675905953,0.5637393767705382
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,2,1,0.5764708819724135,0.5071600632863951,0.5709876543209876
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,2,2,0.6014526833975188,0.4608853720414373,0.5775075987841946
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,2,3,0.6099618070359636,0.5667557700566502,0.6075949367088608
post_mpnet__logistic_regression__C1__k128,post_mpnet,post_embedding,logistic_regression,1.0,128,2,4,0.605912542944907,0.5490301445954919,0.6006389776357828
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,0,0,0.5686455930813479,0.48907439403621583,0.5566037735849056
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,0,1,0.5450695575479031,0.4834147455440231,0.5487804878048781
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,0,2,0.5943149643338702,0.5289905112446815,0.5920245398773006
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,0,3,0.5681803983544411,0.5230265257016464,0.5695364238410596
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,0,4,0.5626735413467617,0.4833567645444812,0.5663082437275986
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,1,0,0.6001717811306386,0.505031084442849,0.6040462427745664
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,1,1,0.5391653468700698,0.45136162255919354,0.5408163265306123
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,1,2,0.5380617783582696,0.49199071280421947,0.5365853658536586
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,1,3,0.6020142617512406,0.523916068896187,0.5943661971830986
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,1,4,0.5864293409671562,0.5198889555822329,0.5961538461538461
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,2,0,0.5971526711987055,0.5311157092828673,0.5977337110481586
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,2,1,0.5784430076880576,0.4962641429150514,0.5864197530864198
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,2,2,0.6345624283512746,0.5045064721470288,0.6200607902735562
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,2,3,0.5624792729475582,0.5251439958543784,0.5664556962025317
post_mpnet__logistic_regression__C1__kall,post_mpnet,post_embedding,logistic_regression,1.0,all,2,4,0.5555241563481099,0.5079216059117142,0.5559105431309904
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,0,0,0.6132131301359817,0.5329871046174244,0.6069182389937107
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,0,1,0.5563636796882632,0.44762983655550326,0.5536585365853659
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,0,2,0.6210615032404484,0.5270593085719135,0.6196319018404908
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,0,3,0.6127894706987558,0.5798619316015714,0.6125827814569537
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,0,4,0.6020184094810698,0.5424167116291349,0.5985663082437276
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,1,0,0.5762225411989048,0.4709116670728763,0.5722543352601156
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,1,1,0.6238393138742604,0.5093888073873248,0.6190476190476191
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,1,2,0.612619320302077,0.5671024364574252,0.6158536585365854
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,1,3,0.6156779469603784,0.5389878213891371,0.6084507042253521
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,1,4,0.5904511393301033,0.5356938112256474,0.5961538461538461
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,2,0,0.5844309217161172,0.4975082431029568,0.5750708215297451
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,2,1,0.5596179692217426,0.46591861651723887,0.5648148148148148
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,2,2,0.6356382823013068,0.5047847606437478,0.6291793313069909
post_mpnet__linear_svm__C0.25__k64,post_mpnet,post_embedding,linear_svm,0.25,64,2,3,0.5842589218708102,0.5421869930005099,0.5854430379746836
